"Item Type","Product ID","Product SKU"
Product,171606,0-07233
"  SKU",207258,1-07233
"  SKU",207259,1-07234
"  Rule",317940,1-07233
"  Rule",317941,1-07234
Product,171607,0-25503
"  SKU",207260,1-25503
"  SKU",207261,1-25504
"  Rule",317942,1-25503
"  Rule",317943,1-25504
Product,171608,2-10799
Product,171609,2-25791
Product,171610,0-25521
"  SKU",207262,1-25521
"  SKU",207263,1-25522
"  Rule",317944,1-25521
"  Rule",317945,1-25522
Product,171611,2-42832
Product,171612,2-63671
Product,171613,2-59297
Product,171614,0-01452
"  SKU",207264,1-01452
"  SKU",207265,1-01454
"  Rule",317946,1-01452
"  Rule",317947,1-01454
Product,171615,0-20964
"  SKU",207266,1-20964
"  SKU",207267,1-20965
"  Rule",317948,1-20964
"  Rule",317949,1-20965
Product,171616,0-03656
"  SKU",207268,1-03656
"  SKU",207269,1-03657
"  SKU",207270,1-03659
"  SKU",207271,1-04459
"  Rule",317952,1-03659
"  Rule",317953,1-04459
"  Rule",317950,1-03656
"  Rule",317951,1-03657
Product,171617,0-28743
"  SKU",207272,1-28743
"  SKU",207273,1-28744
"  Rule",317954,1-28743
"  Rule",317955,1-28744
Product,171618,2-09593
Product,171619,0-28337
"  SKU",207274,1-28337
"  SKU",207275,1-28357
"  Rule",317956,1-28337
"  Rule",317957,1-28357
Product,171620,2-28358
Product,171621,0-43572
"  SKU",207276,1-43572
"  SKU",207277,1-43574
"  Rule",317958,1-43572
"  Rule",317959,1-43574
Product,171622,2-43577
Product,171623,2-43580
Product,171624,2-32959
Product,171625,0-01449
"  SKU",207278,1-01449
"  SKU",207279,1-01450
"  SKU",207280,1-01451
"  SKU",207281,1-01461
"  SKU",207282,1-09420
"  Rule",317960,1-01449
"  Rule",317961,1-01450
"  Rule",317962,1-01451
"  Rule",317963,1-01461
"  Rule",317964,1-09420
Product,171626,0-20960
"  SKU",207283,1-20960
"  SKU",207284,1-20961
"  SKU",207285,1-20962
"  SKU",207286,1-20963
"  Rule",317965,1-20960
"  Rule",317966,1-20961
"  Rule",317967,1-20962
"  Rule",317968,1-20963
Product,171627,2-45442
Product,171628,2-42836
Product,171629,2-19309
Product,171630,0-20959
"  SKU",207287,1-20959
"  SKU",207288,1-22556
"  Rule",317969,1-20959
"  Rule",317970,1-22556
Product,171631,2-05870
Product,171632,0-12197
"  SKU",207289,1-12197
"  SKU",207290,1-12306
"  SKU",207291,1-12310
"  SKU",207292,1-19828
"  Rule",317971,1-12197
"  Rule",317972,1-12306
"  Rule",317973,1-12310
"  Rule",317974,1-19828
Product,171633,0-28674
"  SKU",207293,1-28674
"  SKU",207294,1-28675
"  Rule",317975,1-28674
"  Rule",317976,1-28675
Product,171634,0-49479
"  SKU",207295,1-49479
"  SKU",207296,1-49480
"  SKU",207297,1-49652
"  SKU",207298,1-49654
"  Rule",317977,1-49479
"  Rule",317978,1-49480
"  Rule",317979,1-49652
"  Rule",317980,1-49654
Product,171635,2-50124
Product,171636,0-28220
"  SKU",207299,1-28220
"  SKU",207300,1-28221
"  Rule",317981,1-28220
"  Rule",317982,1-28221
Product,171637,2-32965
Product,171638,2-51363
Product,171639,2-10824
Product,171640,2-10825
Product,171641,2-10823
Product,171642,2-10826
Product,171643,2-10822
Product,171644,2-10821
Product,171645,2-06000
Product,171646,2-04844
Product,171647,2-04845
Product,171648,2-51369
Product,171649,0-43984
"  SKU",207301,1-43984
"  SKU",207302,1-44013
"  SKU",207303,1-49116
"  SKU",207304,1-49117
"  Rule",317983,1-43984
"  Rule",317984,1-44013
"  Rule",317985,1-49116
"  Rule",317986,1-49117
Product,171650,2-43985
Product,171651,2-49118
Product,171652,0-50522
"  SKU",207305,1-50522
"  SKU",207306,1-50523
"  SKU",207307,1-50524
"  SKU",207308,1-53450
"  SKU",207309,1-53451
"  SKU",207310,1-53494
"  Rule",317987,1-50522
"  Rule",317988,1-50523
"  Rule",317989,1-50524
"  Rule",317990,1-53450
"  Rule",317991,1-53451
"  Rule",317992,1-53494
Product,171653,0-08006
"  SKU",207311,1-08006
"  SKU",207312,1-08007
"  SKU",207313,1-08008
"  Rule",317993,1-08006
"  Rule",317994,1-08007
"  Rule",317995,1-08008
Product,171654,0-22838
"  SKU",207314,1-22838
"  SKU",207315,1-22842
"  SKU",207316,1-22843
"  Rule",317996,1-22838
"  Rule",317997,1-22842
"  Rule",317998,1-22843
Product,171655,0-28251
"  SKU",207317,1-28251
"  SKU",207318,1-28258
"  Rule",317999,1-28251
"  Rule",318000,1-28258
Product,171656,0-49093
"  SKU",207319,1-49093
"  SKU",207320,1-49476
"  Rule",318001,1-49093
"  Rule",318002,1-49476
Product,171657,2-51732
Product,171658,0-46569
"  SKU",207321,1-46569
"  SKU",207322,1-49094
"  SKU",207323,1-49112
"  SKU",207324,1-50138
"  SKU",207325,1-50144
"  Rule",318003,1-46569
"  Rule",318004,1-49094
"  Rule",318005,1-49112
"  Rule",318006,1-50138
"  Rule",318007,1-50144
Product,171659,2-53510
Product,171660,0-49149
"  SKU",207326,1-49149
"  SKU",207327,1-50139
"  SKU",207328,1-50143
"  Rule",318008,1-49149
"  Rule",318009,1-50139
"  Rule",318010,1-50143
Product,171661,0-30948
"  SKU",207329,1-30948
"  SKU",207330,1-30949
"  Rule",318011,1-30948
"  Rule",318012,1-30949
Product,171662,2-35747
Product,171663,0-04817
"  SKU",207331,1-04817
"  SKU",207332,1-04818
"  Rule",318013,1-04817
"  Rule",318014,1-04818
Product,171664,2-38622
Product,171665,0-12109
Product,171666,2-15227
Product,171667,2-42831
Product,171668,2-06378
Product,171669,2-21874
Product,171670,0-06377
"  SKU",207335,1-06377
"  SKU",207336,1-45121
"  Rule",318017,1-06377
"  Rule",318018,1-45121
Product,171671,0-42361
"  SKU",207337,1-42361
"  SKU",207338,1-42363
"  SKU",207339,1-43538
"  SKU",207340,1-48457
"  SKU",207341,1-49273
"  SKU",207342,1-49889
"  SKU",207343,1-49892
"  Rule",318019,1-42361
"  Rule",318020,1-42363
"  Rule",318021,1-43538
"  Rule",318022,1-48457
"  Rule",318023,1-49273
"  Rule",318024,1-49889
"  Rule",318025,1-49892
Product,171672,0-43550
"  SKU",207344,1-43550
"  SKU",207345,1-48558
"  Rule",318026,1-43550
"  Rule",318027,1-48558
Product,171673,0-48455
"  SKU",207346,1-48455
"  SKU",207347,1-49710
"  SKU",207348,1-49728
"  SKU",207349,1-49730
"  SKU",207350,1-54247
"  Rule",318028,1-48455
"  Rule",318029,1-49710
"  Rule",318030,1-49728
"  Rule",318031,1-49730
"  Rule",318032,1-54247
Product,171674,0-05868
"  SKU",207351,1-05868
"  SKU",207352,1-10914
"  SKU",207353,1-10915
"  Rule",318033,1-05868
"  Rule",318034,1-10914
"  Rule",318035,1-10915
Product,171675,0-10916
"  SKU",207354,1-10916
"  SKU",207355,1-12307
"  Rule",318036,1-10916
"  Rule",318037,1-12307
Product,171676,0-34725
"  SKU",207356,1-34725
"  SKU",207357,1-51540
"  SKU",207358,1-53434
"  SKU",207359,1-53438
"  Rule",318038,1-34725
"  Rule",318039,1-51540
"  Rule",318040,1-53434
"  Rule",318041,1-53438
Product,171677,0-51539
"  SKU",207360,1-51539
"  SKU",207361,1-51541
"  SKU",207362,1-51731
"  Rule",318042,1-51539
"  Rule",318043,1-51541
"  Rule",318044,1-51731
Product,171678,2-49107
Product,171679,2-05875
Product,171680,2-01699
Product,171681,0-34434
"  SKU",207363,1-34434
"  SKU",207364,1-34726
"  SKU",207365,1-34727
"  SKU",207366,1-34791
"  SKU",207367,1-34797
"  SKU",207368,1-34798
"  Rule",318045,1-34434
"  Rule",318046,1-34726
"  Rule",318047,1-34727
"  Rule",318048,1-34791
"  Rule",318049,1-34797
"  Rule",318050,1-34798
Product,171682,2-34728
Product,171683,0-38620
"  SKU",207369,1-38620
"  SKU",207370,1-38621
"  Rule",318051,1-38620
"  Rule",318052,1-38621
Product,171684,0-13947
"  SKU",207371,1-13947
"  SKU",207372,1-13948
"  Rule",318053,1-13947
"  Rule",318054,1-13948
Product,171685,0-30500
"  SKU",207373,1-30500
"  SKU",207374,1-30501
"  Rule",318055,1-30500
"  Rule",318056,1-30501
Product,171686,0-13922
"  SKU",207375,1-13922
"  SKU",207376,1-13923
"  Rule",318057,1-13922
"  Rule",318058,1-13923
Product,171687,0-43552
"  SKU",207377,1-43552
"  SKU",207378,1-43575
"  Rule",318059,1-43552
"  Rule",318060,1-43575
Product,171688,2-43555
Product,171689,2-05984
Product,171690,2-06356
Product,171691,2-30121
Product,171692,2-06001
Product,171693,2-31675
Product,171694,2-09586
Product,171695,0-13174
"  SKU",207379,1-13174
"  SKU",207380,1-13175
"  SKU",207381,1-13176
"  SKU",207382,1-13177
"  SKU",207383,1-13178
"  Rule",318061,1-13174
"  Rule",318062,1-13175
"  Rule",318063,1-13176
"  Rule",318064,1-13177
"  Rule",318065,1-13178
Product,171696,0-12581
"  SKU",207384,1-12581
"  SKU",207385,1-12582
"  SKU",207386,1-12583
"  SKU",207387,1-12584
"  Rule",318066,1-12581
"  Rule",318067,1-12582
"  Rule",318068,1-12583
"  Rule",318069,1-12584
Product,171697,0-25223
"  SKU",207388,1-25223
"  SKU",207389,1-25224
"  SKU",207390,1-25225
"  Rule",318070,1-25223
"  Rule",318071,1-25224
"  Rule",318072,1-25225
Product,171698,0-25226
"  SKU",207391,1-25226
"  SKU",207392,1-25227
"  SKU",207393,1-25228
"  SKU",207394,1-25229
"  SKU",207395,1-25230
"  SKU",207396,1-25231
"  Rule",318073,1-25226
"  Rule",318074,1-25227
"  Rule",318075,1-25228
"  Rule",318076,1-25229
"  Rule",318077,1-25230
"  Rule",318078,1-25231
Product,171699,2-65466
Product,171700,2-30549
Product,171701,0-14615
"  SKU",207397,1-14615
"  SKU",207398,1-14617
"  SKU",207399,1-14618
"  Rule",318079,1-14615
"  Rule",318080,1-14617
"  Rule",318081,1-14618
Product,171702,2-38619
Product,171703,2-15416
Product,171704,2-15231
Product,171705,0-15229
"  SKU",207400,1-15229
"  SKU",207401,1-15230
"  Rule",318082,1-15229
"  Rule",318083,1-15230
Product,171706,0-49105
"  SKU",207402,1-49105
"  SKU",207403,1-49111
"  SKU",207404,1-49269
"  Rule",318084,1-49105
"  Rule",318085,1-49111
"  Rule",318086,1-49269
Product,171707,0-28339
"  SKU",207405,1-28339
"  SKU",207406,1-28340
"  SKU",207407,1-28341
"  SKU",207408,1-28345
"  SKU",207409,1-28347
"  SKU",207410,1-28352
"  SKU",207411,1-28353
"  Rule",318087,1-28339
"  Rule",318088,1-28340
"  Rule",318089,1-28341
"  Rule",318090,1-28345
"  Rule",318091,1-28347
"  Rule",318092,1-28352
"  Rule",318093,1-28353
Product,171708,0-28342
"  SKU",207412,1-28342
"  SKU",207413,1-28344
"  Rule",318094,1-28342
"  Rule",318095,1-28344
Product,171709,2-49108
Product,171710,2-05876
Product,171711,0-44809
"  SKU",207414,1-44809
"  SKU",207415,1-46618
"  SKU",207416,1-46687
"  SKU",207417,1-47485
"  SKU",207418,1-47625
"  SKU",207419,1-47626
"  SKU",207420,1-50125
"  SKU",207421,1-50990
"  SKU",207422,1-51009
